Category Id,Business Category
1,Groceries
2,Fruits & Vegetables
3,Gourmets & World Foods
4,Tea Time & Refreshments
5,Beauty & Personal Care
6,Baby Care
7,"Beauty & Personal Care	"
8,Baby Food
14,Office Needs
15,meat needs
16,fastfood
